Card Range,Odds of Winning,95% Confidence Level
1-14,490/522,91.8-95.9
1-13,593/665,86.8-91.5
1-12,538/693,74.5-80.7
1-11,466/651,68.1-75.0
1-10,438/672,61.5-68.7
1-9,236/439,49.0-58.4
1-8,105/214,42.3-55.7
1-3,51/688,5.4-9.3
2-14,1766/2007,86.5-89.4
2-13,2130/2711,77.0-80.1
2-12,1964/2696,71.1-74.5
2-11,1757/2720,62.7-66.3
2-10,1032/1853,53.4-57.9
2-9,413/902,42.5-49.0
2-4,205/2760,6.4-8.4
3-14,1622/1994,79.6-83.0
3-13,1969/2685,71.6-75.0
3-12,1761/2759,62.0-65.6
3-11,925/1705,51.8-56.6
3-10,430/898,44.6-51.1
3-5,213/2693,6.8-8.9
4-14,1492/2044,71.0-74.9
4-13,1650/2669,59.9-63.6
4-12,1028/1814,54.3-58.9
4-11,445/908,45.7-52.2
4-6,231/2745,7.3-9.4
5-14,1283/2045,60.6-64.8
5-13,968/1783,51.9-56.6
5-12,468/914,47.9-54.4
5-7,200/2649,6.5-8.5
6-14,732/1329,52.4-57.7
6-13,435/895,45.3-51.8
6-8,213/2754,6.7-8.7
7-14,309/660,43.0-50.6
7-9,206/2802,6.3-8.3
8-10,218/2638,7.2-9.3
9-11,222/2701,7.1-9.2
10-12,210/2667,6.8-8.8
11-13,229/2748,7.2-9.3
12-14,152/2044,6.2-8.5
